 Offset(V)  Session     WindowStation          Atom  RefCount    HIndex     Pinned   Name
0x17930da8 ---------- ------------------     0xc095     5         149         0      OM_POST_WM_COMMAND
0x17930da8 ---------- ------------------     0xc09c     1         156         0      Logoff User
0x17930da8 ---------- ------------------     0xc0c2     4         194         0      FileGroupDescriptor
0x17930da8 ---------- ------------------     0xc0c8     2         200         0      Preferred DropEffect
0x17930da8 ---------- ------------------     0xc08c     2         140         0      HkClass
0x17930da8 ---------- ------------------     0xc0d9     2         217         0      UserEventWindow
0x17930da8 ---------- ------------------     0xc0ea     4         234         0      commctrl_DragListMsg
0x17930da8 ---------- ------------------     0xc10a     1         266         0      TryWindowsMsgrShutdown
0x17930da8 ---------- ------------------     0xc132     2         306         0      audio/x-aiff
0x17930da8 ---------- ------------------     0xc13c     3         316         0      image/x-jg
0x17930da8 ---------- ------------------     0xc145     2         325         0      application/x-zip-compressed
0x17930da8 ---------- ------------------     0xc183     2         387         0      OE_Envelope
0x17930da8 ---------- ------------------     0xc19d     4         413         0      DUserUnSubClassMessage
0x17930da8 ---------- ------------------     0xc011     1          17         1      PBrush
0x17930da8 ---------- ------------------     0xc03a    158         58         0      ShellGetDragImage
0x17930da8 ---------- ------------------     0xc03f     72         63         0      SysListView32
0x17930da8 ---------- ------------------     0xc05d     28         93         0      6.0.2600.5512!ComboBoxEx32
0x17930da8 ---------- ------------------     0xc06a     28        106         0      ReaderModeCtl
0x17930da8 ---------- ------------------     0xc0f6     1         246         0      avg_expander_ensure_visible
0x17930da8 ---------- ------------------     0xc0fd     2         253         0      Microsoft.Webcheck.Dialmon.WINSOCK_ACTIVITY
0x17930da8 ---------- ------------------     0xc11e     2         286         0      SALCOMWND
0x17930da8 ---------- ------------------     0xc170     2         368         0      CF_RTF
0x17930da8 ---------- ------------------     0xc086     1         134         0      C:\WINDOWS\system32\uxtheme.dll
0x17930da8 ---------- ------------------     0xc0ac     18        172         0      MSUIM.Msg.RpcSendReceive
0x17930da8 ---------- ------------------     0xc0b6     2         182         0      Progman
0x17930da8 ---------- ------------------     0xc0fc     2         252         0      MS_WebcheckMonitor
0x17930da8 ---------- ------------------     0xc0e9     2         233         0      BrStsKillerWnd
0x17930da8 ---------- ------------------     0xc130     2         304         0      application/macbinhex40
0x17930da8 ---------- ------------------     0xc029     1          41         1      SysIC
0x17930da8 ---------- ------------------     0xc043     72         67         0      msctls_trackbar32
0x17930da8 ---------- ------------------     0xc0ae     18        174         0      MSUIM.Msg.CheckThreadInputIdel
0x17930da8 ---------- ------------------     0xc0c6     2         198         0      PrinterFriendlyName
0x17930da8 ---------- ------------------     0xc0d5     1         213         0      GetAutomationObject
0x17930da8 ---------- ------------------     0xc0e3     1         227         0      OLEUI_MSG_BROWSE_OFN
0x17930da8 ---------- ------------------     0xc0f4     1         244         0      LOCKS-7DA6C4FB-F63A-4574-92DB-E9ACC22C384B
0x17930da8 ---------- ------------------     0xc114     2         276         0      Afx:00400000:0
0x17930da8 ---------- ------------------     0xc136     3         310         0      image/pjpeg
0x17930da8 ---------- ------------------     0xc148     2         328         0      application/x-msdownload
0x17930da8 ---------- ------------------     0xc176     1         374         0      WM_HTML_GETOBJECT
0x17930da8 ---------- ------------------     0xc01f     1          31         1      DDEMLEvent
0x17930da8 ---------- ------------------     0xc022     1          34         1      DDEMLAnsiClient
0x17930da8 ---------- ------------------     0xc03b     72         59         0      ToolbarWindow32
0x17930da8 ---------- ------------------     0xc052     28         82         0      6.0.2600.5512!SysListView32
0x17930da8 ---------- ------------------     0xc06b     28        107         0      6.0.2600.5512!ReaderModeCtl
0x17930da8 ---------- ------------------     0xc092     2         146         0      rfb::win32::MsgWindowClass
0x17930da8 ---------- ------------------     0xc0be     2         190         0      CMBOpenChevronMenu
0x17930da8 ---------- ------------------     0xc12b     3         299         0      text/plain
0x17930da8 ---------- ------------------     0xc147     2         327         0      application/java
0x17930da8 ---------- ------------------     0xc17c     2         380         0      URL Moniker Notification Window
0x17930da8 ---------- ------------------     0xc02a     1          42         1      SHELLHOOK
0x17930da8 ---------- ------------------     0xc02e     1          46         1      SysDDEI
0x17930da8 ---------- ------------------     0xc045     72         69         0      msctls_progress32
0x17930da8 ---------- ------------------     0xc072     31        114         0      commdlg_ColorOK
0x17930da8 ---------- ------------------     0xc0e0     1         224         0      OLEUI_MSG_CONVERT
0x17930da8 ---------- ------------------     0xc0e2     1         226         0      OLEUI_MSG_ADDCONTROL
0x17930da8 ---------- ------------------     0xc108     2         264         0      MSBLUIManager
0x17930da8 ---------- ------------------     0xc11d     2         285         0      SALTMPSUBFRAME
0x17930da8 ---------- ------------------     0xc13d     3         317         0      image/x-art
0x17930da8 ---------- ------------------     0xc16b     2         363         0      WAB Notification Engine
0x17930da8 ---------- ------------------     0xc182     2         386         0      MtaOleReqWnd###
0x17930da8 ---------- ------------------     0xc191     2         401         0      Ath_PaintBlocker
0x17930da8 ---------- ------------------     0xc198     1         408         0      CAEBAsyncNavigation
0x17930da8 ---------- ------------------     0xc00c     1          12         1      Custom Link Source
0x17930da8 ---------- ------------------     0xc014     1          20         1      Screen Picture
0x17930da8 ---------- ------------------     0xc025     1          37         1      DDEMLUnicodeServer
0x17930da8 ---------- ------------------     0xc034     1          52         1      OTHERWINDOWDESTROYED
0x17930da8 ---------- ------------------     0xc056     28         86         0      6.0.2600.5512!msctls_trackbar32
0x17930da8 ---------- ------------------     0xc091     4         145         0      BltClWin
0x17930da8 ---------- ------------------     0xc0a5     1         165         0      HardError
0x17930da8 ---------- ------------------     0xc0a8     18        168         0      MSUIM.Msg.SetFocus
0x17930da8 ---------- ------------------     0xc0b8     2         184         0      MenuSite
0x17930da8 ---------- ------------------     0xc0d0     2         208         0      NotRecyclable
0x17930da8 ---------- ------------------     0xc0f2     2         242         0      AvgDlgAppPopupFlashWnd
0x17930da8 ---------- ------------------     0xc0fb     2         251         0      CicLoaderWndClass
0x17930da8 ---------- ------------------     0xc109     2         265         0      HiddenWindowClass
0x17930da8 ---------- ------------------     0xc122     7         290         0      text/html
0x17930da8 ---------- ------------------     0xc160     2         352         0      DirectDBNotifyWndProc
0x17930da8 ---------- ------------------     0xc04e     28         78         0      6.0.2600.5512!ToolbarWindow32
0x17930da8 ---------- ------------------     0xc16d     2         365         0      ThorFrontPageWndClass
0x17930da8 ---------- ------------------     0xc180     3         384         0      WM_ATLGETCONTROL
0x17930da8 ---------- ------------------     0xc058     28         88         0      6.0.2600.5512!msctls_progress32
0x17930da8 ---------- ------------------     0xc0a1     1         161         0      AVGRefreshCC
0x17930da8 ---------- ------------------     0xc0c3     5         195         0      FileGroupDescriptorW
0x17930da8 ---------- ------------------     0xc0c7     4         199         0      HTML Format
0x17930da8 ---------- ------------------     0xc123     2         291         0      Tapi32WndClass
0x17930da8 ---------- ------------------     0xc0a0     3         160         0      C:\Program Files\Messenger\msmsgs.exe
0x17930da8 ---------- ------------------     0xc155     2         341         0      CIESplashScreen
0x17930da8 ---------- ------------------     0xc15b     2         347         0      DirectDBListenWndProc
0x17930da8 ---------- ------------------     0xc165     2         357         0      FolderBar Frame
0x17930da8 ---------- ------------------     0xc18d     1         397         0      Rich Text Format Without Objects
0x17930da8 ---------- ------------------     0xc02c     1          44         1      SysDT
0x17930da8 ---------- ------------------     0xc041     72         65         0      SysTabControl32
0x17930da8 ---------- ------------------     0xc0b0     18        176         0      MSUIM.Msg.ShowFloating
0x17930da8 ---------- ------------------     0xc0e7     11        231         0      C:\Program Files\Brownie\BrstsWnd.exe
0x17930da8 ---------- ------------------     0xc101     2         257         0      BrStsLptLogThWnd
0x17930da8 ---------- ------------------     0xc11b     2         283         0      SALFRAME
0x17930da8 ---------- ------------------     0xc152     1         338         0      WM_IDENTITY_INFO_CHANGED
0x17930da8 ---------- ------------------     0xc179     1         377         0      video/quicktime
0x17930da8 ---------- ------------------     0xc1a2     2         418         0      SCardUISmartCardRemoval
0x17930da8 ---------- ------------------     0xc00d     1          13         1      Link Source
0x17930da8 ---------- ------------------     0xc094     1         148         0      C:\Program Files\RealVNC\VNC4\WinVNC4.exe
0x17930da8 ---------- ------------------     0xc099     1         153         0      Enable Balloon Tip
0x17930da8 ---------- ------------------     0xc0bc     2         188         0      CMBAutomation
